,نوع و مدل لپ تاپ new,سری AMD new,جزئیات CPU new,مشخصات cpu ( پردازنده ) new,CPU Manufacturer new,نسل پردازنده مرکزی new,هسته پردازشی new,هسته واقعی new,میزان حافظه کش L2 new,ظرفیت داخلی new,امکان ارتقاء هارد دیسک تا new,نوع حافظه داخلي new,ظرفیت حافظه دوم new,سازنده پردازنده گرافیک new,مدل پردازنده گرافیک new,مشخصات گرافیک new,صفحه نمایش مات یا شیشه‌ای new,نور پس زمینه کیبورد new,شارژدهي باتري new,ویژگی های باتری و شارژر new,شارژر / باتری new,ابعاد صفحه نمایش new,تعدادفن new,صحفه نمایش مات new,صفحه تاچ new,نور صفحع کلید new,حسگر اثر انگشت Touch ID new,amount new
1003, 11800H ,          ,Core i7 Tiger Lake      ,     , Intel            ,نسل 11 ,x86     ,8                     ,24MB                         , 32GB                                       ,              ,                 , 1TB                              ,NVIDIA                   ,GeForce RTX 3080    ,              16GB                     , ,RGB backlit     ,         , ,4Cell 80WHr                ,           ,  ,  ,   ,            ,   ,98.981.000
1004,  MSI Pulse GL66 11UCK-1274XRO,      MSI    ,       ,     ,"         Intel® Core™ i5-11400H Processor, 2.7 GHz up to 4.5GHz, 6 Cores ,12 Threads ,12M Cache    ", ,     ,                     ,                         ,"8GB DDR4 3200MHz Memory (1*8), 2Slot; Max Memory 32GB                                        ",              ,                 ,                               ,                   ,     ,"                                  آنبرد:, Intel® UHD Graphics for 11th Gen Intel® Processors, اختصاصی:, NVIDIA® GeForce RTX™ 3050 4GB GDDR6, NVIDIA® GeForce RTX™ 3050 Laptop GPU Up to 1500MHz Boost Clock, 60W Maximum Graphics Power. ", ,     ,         , ,"                باتری اصلی :, 4cell (53Whr), منبع تغذیه :, 150W Slim",           ,  ,  ,   ,            ,   ,38.399.000
1005,راگ استریکس - ROG Strix  ,  ایسوس - ASUS        ,Ryzen 9       ,     ,             , , 6900HX    ,   8 هسته                  ,     20 مگابایت                    ,   16 گیگابایت                                     ,              ,    ندارد             ,   1 ترابایت                            ,    Nvidia GeForce               ,     ,                                   , ,     RGB,         , ,  با ظرفیت 90 وات ساعت              , 17.3 اینچ          ,  ,  ,   ,            ,   ,67.300.000
1006, 1165G7 ,          ,Core i7 Tiger Lake      ,     , Intel            ,نسل 11 ,x86     ,4                     ,12MB                         , 16GB                                       ,              ,                 , 1TB                              ,NVIDIA                   ,GeForce MX350    ,              2GB                     , ,White Backlit     ,         , ,2Cell 32WHrs                ,           ,  ,  ,   ,            ,   ,45.481.000
1007,  ,          ,  RYZEN5     ,     ,             , ,     ,                     ,                         ,          16 گيگابايت                              ,              ,                 ,                               , AMD                  ,     , 1G                                  ,بله ,     ,         , ,  HP 3-cell long life prismatic (48 WHr)              , 14 اينچ          ,  ,  ,   ,            ,   ,12.200.000
1008, 1135G7 ,          ,Core i5 Tiger Lake      ,     , Intel            ,نسل 11 ,x86     ,4                     ,8MB                         , 12GB                                       ,   1TB           ,                 , 128GB                              ,NVIDIA                   ,GeForce MX350    ,              2GB                     , ,     ,         , ,2Cell 38WHrs                ,           ,  ,  ,   ,            ,   ,23.064.000
1009,  ,          ,Core i7       ,     ,             ,نسل 11 اینتل , 11800H    ,   8 هسته                  ,     24 مگابایت                    ,   16 گیگابایت                                     ,              ,    ندارد             ,   1 ترابایت                            ,    Nvidia GeForce               ,     ,                                   , ,     دارد,         , ,  با ظرفیت 70 وات ساعت              , 16 اینچ          ,  ,  ,   ,            ,   ,69.781.000
1010,  ,          ,Core i7       ,     ,             , , Intel i7 11800H    ,                     ,  24 مگابایت                       ,16GB                                        ,              ,512GB SSD SSD                ,                               , Nvidia                  ,  GeForce RTX 3050Ti   ,                                4GB   ,دارد , دارد    ,         , ,  3 سلولی 53 وات ساعت              , 15.6 inch          ,  ,  ,   ,            ,   ,45.500.000
1011,  ,        G  ,Ryzen 7       ,     ,             , , Ryzen7 5800H    ,                     ,  L2 Cache: 4MB - L3 Cache: 16MB                       ,32GB                                        ,              ,1TB SSD SSD                ,                               , Nvidia                  ,  GeForce RTX 3070   ,                                8GB   , , دارد    ,         , ,  4 سلولی با ظرفیت 90 وات ساعت              , 15.6 inch          ,  ,  ,   ,            ,   ,68.724.000
1012,  ,          ,Core i5       , Intel Core i5 5200U 2.20 GHz ~ 2.70 GHz / 3MB    ,             , ,     ,                     ,                         ,8GB – DDR-4                                        ,              ,       1 TB          ,                               ,           Intel® HD Graphics 530        ,     ,                                   , ,     ,         , ,       4 سلولی         ,           ,  ,  ,   ,            ,   ,10.900.000
1013, RTX3060 ,          ,Core i9       ,     ,             , ,     ,8                     ,24MB                         ,64GB                                        ,              ,                 ,    1TB                           ,                   ,GEFORCE     ,              6GB                     ,دارد ,     ,2 الی 4 ساعت         , ,4Cell 90WHr                ,           ,  ,  ,   ,            ,   ,79.695.000
1014,  ,          ,       ,     ,             , , Intel® Core™i9-13900HX    ,                     ,  36 MB Intel® Smart Cache                       ,   32GB DDR5                                     ,              ,1TB SSD NVME       1TB          ,                               ,                   ,  RTX4080   , 12GB                                  , ,     ,         , ," 6-cell, 83 Wh Li-ion polymer        330 W Smart AC power adapter       ", 17.3 اینچ          ,  ,  ,   , RGB           ,   ,142.763.340
